symbol,name,token
BBETF0432-EQ,BBETF0432,7196
BBL-EQ,BBL,13761
BBNPNBETF-EQ,BBNPNBETF,24117
BBNPPGOLD-EQ,BBNPPGOLD,20547
BBTC-EQ,BBTC,380
BBTCL-EQ,BBTCL,12153
BCG-EQ,BCG,8833
BCLIND-EQ,BCLIND,2513
BCONCEPTS-EQ,BCONCEPTS,7780
BDL-EQ,BDL,2144
BEARDSELL-EQ,BEARDSELL,17933
BECTORFOOD-EQ,BECTORFOOD,1628
BEDMUTHA-EQ,BEDMUTHA,20196
BEL-EQ,BEL,383
BELLACASA-EQ,BELLACASA,757938
BELRISE-EQ,BELRISE,757102
BEML-EQ,BEML,395
BEPL-EQ,BEPL,419
BERGEPAINT-EQ,BERGEPAINT,404
BESTAGRO-EQ,BESTAGRO,2306
BFINVEST-EQ,BFINVEST,21113
BFSI-EQ,BFSI,5220
BFUTILITIE-EQ,BFUTILITIE,14567
BHAGCHEM-EQ,BHAGCHEM,6164
BHAGERIA-EQ,BHAGERIA,13400
BHAGYANGR-EQ,BHAGYANGR,20776
BHANDARI-EQ,BHANDARI,19556
BHARATFORG-EQ,BHARATFORG,422
BHARATGEAR-EQ,BHARATGEAR,426
BHARATRAS-EQ,BHARATRAS,3834
BHARATWIRE-EQ,BHARATWIRE,16123
BHARTIARTL-EQ,BHARTIARTL,10604
BHARTIHEXA-EQ,BHARTIHEXA,23489
BHEL-EQ,BHEL,438
BIGBLOC-EQ,BIGBLOC,18431
BIKAJI-EQ,BIKAJI,11966
BIL-EQ,BIL,7848
BIOCON-EQ,BIOCON,11373
BIRLACORPN-EQ,BIRLACORPN,480
BIRLAMONEY-EQ,BIRLAMONEY,15239
BIRLANU-EQ,BIRLANU,1455
BLACKBUCK-EQ,BLACKBUCK,27144
BLAL-EQ,BLAL,15067
BLBLIMITED-EQ,BLBLIMITED,8132
BLISSGVS-EQ,BLISSGVS,19265
BLKASHYAP-EQ,BLKASHYAP,13290
BLS-EQ,BLS,17279
BLUEDART-EQ,BLUEDART,495
BLUEJET-EQ,BLUEJET,19686
BLUESTARCO-EQ,BLUESTARCO,8311
BLUSPRING-EQ,BLUSPRING,757520
BODALCHEM-EQ,BODALCHEM,25017
BOHRAIND-EQ,BOHRAIND,11640
BOMDYEING-EQ,BOMDYEING,513
BORANA-EQ,BORANA,757919
BOROLTD-EQ,BOROLTD,19401
BORORENEW-EQ,BORORENEW,3149
BOROSCI-EQ,BOROSCI,24014
BOSCHLTD-EQ,BOSCHLTD,2181
BPCL-EQ,BPCL,526
BPL-EQ,BPL,530
BRIGADE-EQ,BRIGADE,15184
BRITANNIA-EQ,BRITANNIA,547
BRNL-EQ,BRNL,21683
BSE-EQ,BSE,19585
BSE500IETF-EQ,BSE500IETF,3001
BSHSL-EQ,BSHSL,809
BSLGOLDETF-EQ,BSLGOLDETF,23804
BSLNIFTY-EQ,BSLNIFTY,24781
BSLSENETFG-EQ,BSLSENETFG,5957
BSOFT-EQ,BSOFT,6994
BTML-EQ,BTML,14150
BUTTERFLY-EQ,BUTTERFLY,2716
BVCL-EQ,BVCL,15073
CAMPUS-EQ,CAMPUS,9362
CAMS-EQ,CAMS,342
CANBK-EQ,CANBK,10794
CANFINHOME-EQ,CANFINHOME,583
CANTABIL-EQ,CANTABIL,20160
CAPACITE-EQ,CAPACITE,21749
CAPITALSFB-EQ,CAPITALSFB,22675
CAPLIPOINT-EQ,CAPLIPOINT,3906
CARBORUNIV-EQ,CARBORUNIV,595
CARERATING-EQ,CARERATING,29113
CARRARO-EQ,CARRARO,28879
CARTRADE-EQ,CARTRADE,5407
CARYSIL-EQ,CARYSIL,1879
CASHIETF-EQ,CASHIETF,30139
CASTROLIND-EQ,CASTROLIND,1250
CCCL-EQ,CCCL,14992
CCHHL-EQ,CCHHL,6385
CCL-EQ,CCL,11452
CDSL-EQ,CDSL,21174
CEATLTD-EQ,CEATLTD,15254
CEIGALL-EQ,CEIGALL,24742
CELEBRITY-EQ,CELEBRITY,13162
CELLO-EQ,CELLO,19795
CENTENKA-EQ,CENTENKA,619
CENTEXT-EQ,CENTEXT,11511
CENTRALBK-EQ,CENTRALBK,14894
CENTUM-EQ,CENTUM,14982
CENTURYPLY-EQ,CENTURYPLY,13305
CERA-EQ,CERA,15039
CESC-EQ,CESC,628
CEWATER-EQ,CEWATER,28764
CGCL-EQ,CGCL,20329
CGPOWER-EQ,CGPOWER,760
CHALET-EQ,CHALET,8546
CHAMBLFERT-EQ,CHAMBLFERT,637
CHEMCON-EQ,CHEMCON,270
CHEMFAB-EQ,CHEMFAB,2799
CHEMPLASTS-EQ,CHEMPLASTS,5449
CHENNPETRO-EQ,CHENNPETRO,2049
CHEVIOT-EQ,CHEVIOT,9879
CHOICEIN-EQ,CHOICEIN,8866
CHOLAFIN-EQ,CHOLAFIN,685
CHOLAHLDNG-EQ,CHOLAHLDNG,21740
CIEINDIA-EQ,CIEINDIA,14937
CIFL-EQ,CIFL,756015
CIGNITITEC-EQ,CIGNITITEC,5142
CINELINE-EQ,CINELINE,27161
CIPLA-EQ,CIPLA,694
CLEAN-EQ,CLEAN,5049
CLEDUCATE-EQ,CLEDUCATE,20223
CLSEL-EQ,CLSEL,3482
CMSINFO-EQ,CMSINFO,7603
COALINDIA-EQ,COALINDIA,20374
COASTCORP-EQ,COASTCORP,6006
COCHINSHIP-EQ,COCHINSHIP,21508
COFFEEDAY-EQ,COFFEEDAY,11165
COFORGE-EQ,COFORGE,11543
COHANCE-EQ,COHANCE,17945
COLPAL-EQ,COLPAL,15141
COMMOIETF-EQ,COMMOIETF,13198
COMPUSOFT-EQ,COMPUSOFT,31138
COMSYN-EQ,COMSYN,21578
CONCOR-EQ,CONCOR,4749
CONCORDBIO-EQ,CONCORDBIO,18060
CONFIPET-EQ,CONFIPET,10238
CONS-EQ,CONS,10512
CONSOFINVT-EQ,CONSOFINVT,11731
CONSUMBEES-EQ,CONSUMBEES,2435
CONSUMER-EQ,CONSUMER,28969
CONSUMIETF-EQ,CONSUMIETF,6446
CONTROLPR-EQ,CONTROLPR,17477
CORALFINAC-EQ,CORALFINAC,4007
CORDSCABLE-EQ,CORDSCABLE,15271
COROMANDEL-EQ,COROMANDEL,739
COSMOFIRST-EQ,COSMOFIRST,742
CPCAP-EQ,CPCAP,20086
CPSEETF-EQ,CPSEETF,2328
CRAFTSMAN-EQ,CRAFTSMAN,2854
CREATIVE-EQ,CREATIVE,11155
CREDITACC-EQ,CREDITACC,4421
CREST-EQ,CREST,13900
CRISIL-EQ,CRISIL,757
CRIZAC-EQ,CRIZAC,757850
CROMPTON-EQ,CROMPTON,17094
CROWN-EQ,CROWN,8083
CSBBANK-EQ,CSBBANK,14966
CSLFINANCE-EQ,CSLFINANCE,10350
CUB-EQ,CUB,5701
CUMMINSIND-EQ,CUMMINSIND,1901
CUPID-EQ,CUPID,18520
CYBERMEDIA-EQ,CYBERMEDIA,11842
CYIENT-EQ,CYIENT,5748
CYIENTDLM-EQ,CYIENTDLM,17187
DABUR-EQ,DABUR,772
DALBHARAT-EQ,DALBHARAT,8075
DALMIASUG-EQ,DALMIASUG,781
DAMCAPITAL-EQ,DAMCAPITAL,28662
DAMODARIND-EQ,DAMODARIND,17541
DATAMATICS-EQ,DATAMATICS,11423
DATAPATTNS-EQ,DATAPATTNS,7358
DAVANGERE-EQ,DAVANGERE,21794
DBCORP-EQ,DBCORP,17881
DBEIL-EQ,DBEIL,25892
DBL-EQ,DBL,18086
DBOL-EQ,DBOL,10893
DBSTOCKBRO-EQ,DBSTOCKBRO,31107
DCBBANK-EQ,DCBBANK,13725
DCI-EQ,DCI,11566
DCM-EQ,DCM,805
DCMNVL-EQ,DCMNVL,11039
DCMSHRIRAM-EQ,DCMSHRIRAM,811
DCMSRIND-EQ,DCMSRIND,7325
DCW-EQ,DCW,817
DCXINDIA-EQ,DCXINDIA,11895
DDEVPLSTIK-EQ,DDEVPLSTIK,29098
DECCANCE-EQ,DECCANCE,14838
DEEDEV-EQ,DEEDEV,24154
DEEPAKFERT-EQ,DEEPAKFERT,827
DEEPAKNTR-EQ,DEEPAKNTR,19943
DEEPINDS-EQ,DEEPINDS,3292
DELHIVERY-EQ,DELHIVERY,9599
DELTACORP-EQ,DELTACORP,15044
DEN-EQ,DEN,17722
DENORA-EQ,DENORA,4279
DENTA-EQ,DENTA,29256
DEVIT-EQ,DEVIT,8146
DEVYANI-EQ,DEVYANI,5373
DHAMPURSUG-EQ,DHAMPURSUG,857
DHANBANK-EQ,DHANBANK,11359
DHANI-EQ,DHANI,15384
DHANUKA-EQ,DHANUKA,24409
DHUNINV-EQ,DHUNINV,22233
DIACABS-EQ,DIACABS,18543
DIAMINESQ-EQ,DIAMINESQ,18644
DIAMONDYD-EQ,DIAMONDYD,21840
DICIND-EQ,DICIND,703
DIFFNKG-EQ,DIFFNKG,25672
DIGIDRIVE-EQ,DIGIDRIVE,21247
DIGISPICE-EQ,DIGISPICE,16683
DIGITIDE-EQ,DIGITIDE,757515
DISHTV-EQ,DISHTV,14537
DIVGIITTS-EQ,DIVGIITTS,14479
DIVISLAB-EQ,DIVISLAB,10940
DIVOPPBEES-EQ,DIVOPPBEES,2636
DIXON-EQ,DIXON,21690
DJML-EQ,DJML,12749
DLF-EQ,DLF,14732
DLINKINDIA-EQ,DLINKINDIA,17851
DMART-EQ,DMART,19913
DMCC-EQ,DMCC,6973
DNAMEDIA-EQ,DNAMEDIA,641
DODLA-EQ,DODLA,4822
DOLATALGO-EQ,DOLATALGO,12124
DOLLAR-EQ,DOLLAR,20560
DOLPHIN-EQ,DOLPHIN,18139
DOMS-EQ,DOMS,20551
DONEAR-EQ,DONEAR,13839
DPABHUSHAN-EQ,DPABHUSHAN,936
DPSCLTD-EQ,DPSCLTD,15419
DPWIRES-EQ,DPWIRES,16900
DREDGECORP-EQ,DREDGECORP,11271
DRREDDY-EQ,DRREDDY,881
DSSL-EQ,DSSL,25690
