symbol,token,name,lotsize
GOLDSHARE,14535,GOLDSHARE,1
ACCURACY,1465,ACCURACY,1
KMSUGAR,14667,KMSUGAR,1
HGS,14712,HGS,1
021NSETEST,14751,021NSETEST,1
031NSETEST,14753,031NSETEST,1
V2RETAIL,14766,V2RETAIL,1
141NSETEST,14781,141NSETEST,1
RBA,1494,RBA,1
PURVA,14922,PURVA,1
PSUBNKBEES,15032,PSUBNKBEES,1
RHL,15157,RHL,1
INDIAGLYCO,1521,INDIAGLYCO,1
IRB,15313,IRB,1
RECLTD,15355,RECLTD,1
GOLDETFADD,15356,GOLDETFADD,1
VGUARD,15362,VGUARD,1
PDMJEPAPER,15377,PDMJEPAPER,1
INFY,1594,INFY,1
VAISHALI,16589,VAISHALI,1
KIRIINDUS,16639,KIRIINDUS,1
DIGISPICE,16683,DIGISPICE,1
SILVRETF,16777,SILVRETF,1
HGINFRA,1672,HGINFRA,1
GHCLTEXTIL,16696,GHCLTEXTIL,1
LPDC,16863,LPDC,1
JOCIL,16927,JOCIL,1
THYROCARE,17032,THYROCARE,1
CROMPTON,17094,CROMPTON,1
AARTECH,17145,AARTECH,1
CYIENTDLM,17187,CYIENTDLM,1
SETFGOLD,17272,SETFGOLD,1
AJMERA,17307,AJMERA,1
ORICONENT,10159,ORICONENT,1
FEDERALBNK,1023,FEDERALBNK,1
ADANIENSOL,10217,ADANIENSOL,1
PPL,10297,PPL,1
CSLFINANCE,10350,CSLFINANCE,1
KRBL,10577,KRBL,1
TCI,10580,TCI,1
SADBHIN,10618,SADBHIN,1
ASAL,10634,ASAL,1
SPORTKING,10733,SPORTKING,1
GENESYS,10905,GENESYS,1
AGRITECH,11072,AGRITECH,1
IDFCFIRSTB,11184,IDFCFIRSTB,1
SHK,11212,SHK,1
WELSPUNLIV,11253,WELSPUNLIV,1
UPL,11287,UPL,1
LUXIND,11301,LUXIND,1
MUKANDLTD,11325,MUKANDLTD,1
DHANBANK,11359,DHANBANK,1
KRITINUT,11432,KRITINUT,1
NV20,11457,NV20,1
GLAXO,1153,GLAXO,1
EXCELINDUS,11471,EXCELINDUS,1
EMIL,11530,EMIL,1
PPLPHARMA,11571,PPLPHARMA,1
HPIL,11796,HPIL,1
DCXINDIA,11895,DCXINDIA,1
ZIMLAB,12384,ZIMLAB,1
AMBUJACEM,1270,AMBUJACEM,1
ROUTE,128,ROUTE,1
KRISHANA,12847,KRISHANA,1
EKC,13091,EKC,1
HARRMALAYA,1313,HARRMALAYA,1
REPRO,13126,REPRO,1
GSEC10IETF,13143,GSEC10IETF,1
EMAMILTD,13517,EMAMILTD,1
SKYGOLD,13631,SKYGOLD,1
JMFINANCIL,13637,JMFINANCIL,1
GTLINFRA,13745,GTLINFRA,1
FLUOROCHEM,13750,FLUOROCHEM,1
BAIDFIN,13794,BAIDFIN,1
MANALIPETC,13796,MANALIPETC,1
HINDPETRO,1406,HINDPETRO,1
NETWORK18,14111,NETWORK18,1
TIMKEN,14198,TIMKEN,1
HDFCSML250,14233,HDFCSML250,1
TVSSRICHAK,14245,TVSSRICHAK,1
PGIL,14260,PGIL,1
OSWALSEEDS,14305,OSWALSEEDS,1
GOLDBEES,14428,GOLDBEES,1
HLVLTD,1448,HLVLTD,1
DIVGIITTS,14479,DIVGIITTS,1
BIRLANU,1455,BIRLANU,1
DISHTV,14537,DISHTV,1
SRHHYPOLTD,14582,SRHHYPOLTD,1
GSLSU,14599,GSLSU,1
TGBHOTELS,14607,TGBHOTELS,1
INSECTICID,14657,INSECTICID,1
071NSETEST,14764,071NSETEST,1
REPL,1480,REPL,1
GOLD1,14858,GOLD1,1
NAGREEKCAP,14942,NAGREEKCAP,1
MOGSEC,1507,MOGSEC,1
CCCL,14992,CCCL,1
MANGCHEFER,15007,MANGCHEFER,1
TARIL,15174,TARIL,1
ECLERX,15179,ECLERX,1
PATINTLOG,15219,PATINTLOG,1
QGOLDHALF,15330,QGOLDHALF,1
ATAM,15404,ATAM,1
AVG,15589,AVG,1
SUNDROP,1663,SUNDROP,1
BAJAJ-AUTO,16669,BAJAJ-AUTO,1
GVT&D,16783,GVT&D,1
QNIFTY,16819,QNIFTY,1
KOKUYOCMLN,16827,KOKUYOCMLN,1
ARTEMISMED,16913,ARTEMISMED,1
INDBANK,16933,INDBANK,1
ALBERTDAVD,17256,ALBERTDAVD,1
JBCHEPHARM,1726,JBCHEPHARM,1
GKWLIMITED,17357,GKWLIMITED,1
MHRIL,17333,MHRIL,1
NHPC,17400,NHPC,1
OIL,17438,OIL,1
AMRUTANJAN,17547,AMRUTANJAN,1
MAHEPC,17603,MAHEPC,1
MOLDTECH,17625,MOLDTECH,1
POKARNA,17651,POKARNA,1
GPTINFRA,17685,GPTINFRA,1
YATHARTH,17738,YATHARTH,1
ATL,17778,ATL,1
GODREJPROP,17875,GODREJPROP,1
KAKATCEM,1811,KAKATCEM,1
THANGAMAYL,18118,THANGAMAYL,1
HATHWAY,18154,HATHWAY,1
SPAL,18252,SPAL,1
HDFCLIQUID,18279,HDFCLIQUID,1
NIFMID150,18347,NIFMID150,1
PERSISTENT,18365,PERSISTENT,1
BIGBLOC,18431,BIGBLOC,1
JLHL,18553,JLHL,1
ZAGGLE,18608,ZAGGLE,1
SIGNATURE,18743,SIGNATURE,1
KINGFA,18944,KINGFA,1
KIRLOSIND,19025,KIRLOSIND,1
TCIEXP,19223,TCIEXP,1
THEJO,19279,THEJO,1
MOM50,19289,MOM50,1
BOROLTD,19401,BOROLTD,1
ROSSARI,19410,ROSSARI,1
PRICOLLTD,19631,PRICOLLTD,1
ITETF,19633,ITETF,1
BLUEJET,19686,BLUEJET,1
SASTASUNDR,20063,SASTASUNDR,1
LUMAXIND,2018,LUMAXIND,1
CANTABIL,20160,CANTABIL,1
CLEDUCATE,20223,CLEDUCATE,1
PRESTIGE,20302,PRESTIGE,1
DOMS,20551,DOMS,1
HUDCO,20825,HUDCO,1
INNOVACAP,21062,INNOVACAP,1
TEJASNET,21131,TEJASNET,1
MASTEK,2124,MASTEK,1
DIGIDRIVE,21247,DIGIDRIVE,1
DYNPRO,21314,DYNPRO,1
TATAGOLD,21401,TATAGOLD,1
DAVANGERE,21794,DAVANGERE,1
NIFTYBETF,21959,NIFTYBETF,1
LIQUID,17572,LIQUID,1
PVTBANKADD,17576,PVTBANKADD,1
LLOYDSENGG,17801,LLOYDSENGG,1
KAJARIACER,1808,KAJARIACER,1
TCPLPACK,184,TCPLPACK,1
KANORICHEM,1835,KANORICHEM,1
SANDUMA,18359,SANDUMA,1
CUPID,18520,CUPID,1
KALAMANDIR,18755,KALAMANDIR,1
MAZDA,18866,MAZDA,1
UDS,19113,UDS,1
PRAKASHSTL,19599,PRAKASHSTL,1
TRENT,1964,TRENT,1
GPPL,19731,GPPL,1
MUFIN,19783,MUFIN,1
ARIHANTSUP,20159,ARIHANTSUP,1
IRFC,2029,IRFC,1
ESILVER,20257,ESILVER,1
INDIGOPNTS,2048,INDIGOPNTS,1
JINDWORLD,20642,JINDWORLD,1
VTL,2073,VTL,1
RPPINFRA,20760,RPPINFRA,1
MOTISONS,20788,MOTISONS,1
SURAJEST,20822,SURAJEST,1
MUTHOOTMF,20831,MUTHOOTMF,1
STOVEKRAFT,2107,STOVEKRAFT,1
SURANASOL,21077,SURANASOL,1
